Sales |SHANKARAN\ MEDICAL\ CENTR |3622\ SLS\ 20&21 |69765 |RANITIN_300mg |TOR |IP072019 |30 |2016-07-01
Sales |SHANKARAN\ MEDICAL\ CENTR |3622\ SLS\ 20&21 |38567 |HEMSYL_250mg |IND |HAB1C3 |20 |2015-02-01
Sales |SHANKARAN\ MEDICAL\ CENTR |3622\ SLS\ 20&21 |62940 |PAN_40mg |ALK |3130963 |10 |2015-10-01
Sales |SHANKARAN\ MEDICAL\ CENTR |3622\ SLS\ 20&21 |37173 |GLYCIPHAGE_500mg |FRA |PT13036 |60 |2016-04-01
Sales |SHANKARAN\ MEDICAL\ CENTR |3622\ SLS\ 20&21 |37032 |GLUCORED_ |SUN |EAL0206 |50 |2015-07-01
Sales |SHANKARAN\ MEDICAL\ CENTR |3622\ SLS\ 20&21 |105399 |CERELAC\ 2(WHEAT\ APPLE\ CHERRY)_ |NES |- |2 |2015-08-01
Sales |SHANKARAN\ MEDICAL\ CENTR |3622\ SLS\ 20&21 |4728 |AMLONG_5mg |MIC |DO268 |45 |2015-02-01
Sales |SHANKARAN\ MEDICAL\ CENTR |3622\ SLS\ 20&21 |20958 |COMBIFLAM_ |SAN |02130028 |30 |2015-12-01
Sales |SHANKARAN\ MEDICAL\ CENTR |3622\ SLS\ 20&21 |10675 |BEPLEX\ FORTE_ |ANG |04384 |30 |2015-09-01
Sales |SHANKARAN\ MEDICAL\ CENTR |3622\ SLS\ 20&21 |104730 |FENAK\ PLUS_ |RAN |9759822 |200 |2015-06-01
Sales |SHANKARAN\ MEDICAL\ CENTR |3622\ SLS\ 20&21 |71368 |REVITAL_ |RAN |2515309 |10 |2015-04-01
Sales |SHANKARAN\ MEDICAL\ CENTR |3622\ SLS\ 20&21 |11093 |BETNESOL_0.5mg |GLA |N2364 |100 |2014-10-01
Sales |SHANKARAN\ MEDICAL\ CENTR |3622\ SLS\ 20&21 |104862 |BIOPRON_4MG |LEE |AKT3138 |60 |2015-03-01
