Sales |VAN001 | |96156 |ZYTEE\ GEL_ |RAP |13081 |50 |2015-07-01
Sales |Sachin | |14028 |CA\ -500-90mg_ |FOU |1545454554 |18 |2015-11-01
Sales |VAN001 | |14028 |CA\ -500-90mg_ |FOU |1545454554 |5 |2015-11-01
Sales |VAN001 | |96155 |ZYRTEC_ |UCB |109471 |2 |2016-07-01
Sales |VAN001 | |96156 |ZYTEE\ GEL_ |RAP |13081 |1 |2015-07-01
Sales |Sachin |KRISHNAMOORTHY |14028 |CA\ -500-90mg_ |FOU |1545454554 |5 |2015-11-01
Sales | | |9873 |B\ -\ COLEX_ |TOR |1545454 |5 |2015-11-01
Sales |VAN002 |KRISHNAMOORTHY |96153 |ZYRCOF\ SYP_ |UCB |120001 |5 |2013-12-01
Sales |VAN002 |KRISHNAMOORTHY |96155 |ZYRTEC_ |UCB |109471 |5 |2016-07-01
Sales |VAN002 |KRISHNAMOORTHY |96156 |ZYTEE\ GEL_ |RAP |13081 |4 |2015-07-01
Sales |VAN002 |KRISHNAMOORTHY |14028 |CA\ -500-90mg_ |FOU |1545454554 |4 |2015-11-01
Sales |VAN002 |KRISHNAMOORTHY |14028 |CA\ -500-90mg_ |FOU |14544 |2 |2016-12-01
Sales |VAN003 | |96153 |ZYRCOF\ SYP_ |UCB |120001 |5 |2013-12-01
Sales |VAN001 | |96153 |ZYRCOF\ SYP_ |UCB |120001 |75 |2013-12-01
Sales |VAN003 | |96155 |ZYRTEC_ |UCB |109471 |10 |2016-07-01
Sales |VAN005 | |96153 |ZYRCOF\ SYP_ |UCB |120001 |8 |2013-12-01
Sales |VAN005 | |96155 |ZYRTEC_ |UCB |109471 |10 |2016-07-01
Sales |VAN005 |INDHU\ MEENA |96155 |ZYRTEC_ |UCB |109471 |18 |2016-07-01
Sales | | |7 |Accupril\ cé\ B20\ \ 5mg_ |Unk |154544 |1 |2015-12-01
Sales | | |95196 |CALPOL\ TABLET_ |GLA |RG235 |1 |2016-07-01
Sales | | |95292 |CILAMET\ XL\ 50_ |AJA |S13115E |2 |2015-04-01
Sales | | |95291 |CILAMET\ XL25_ |AJA |S13114E |5 |2015-04-01
Sales | | |95045 |ACECLO\ PLUS_ |ARI |B-375H053 |5 |2015-07-01
Sales | | |95515 |IV\ SET_ | |A29E22R23 |10 |2016-02-01
Sales | | |10052 |BACIFER-200mg_ |SYM |HJIU78 |1 |2014-04-01
Sales |Sachin | |14053 |CACIO\ -D-250mg_ |WEL |151111555 |2 |2015-12-01
Sales | | |14050 |CACEF\ SUSP-50mg_ |CAC |ACHJ890 |5 |2014-05-01
Sales |VAN003 |G.GOPINATH |96155 |ZYRTEC_ |UCB |109471 |15 |2016-07-01
Sales |VAN003 | |96156 |ZYTEE\ GEL_ |RAP |13081 |10 |2015-07-01
Sales |VAN002 | |96156 |ZYTEE\ GEL_ |RAP |13081 |5 |2015-07-01
Sales |VAN001 | |96156 |ZYTEE\ GEL_ |RAP |13081 |25 |2015-07-01
Sales |VAN001 | |96155 |ZYRTEC_ |UCB |109471 |19 |2016-07-01
Sales |Sachin | |95863 |RECOPRESS\ 250MG_ |LA |AKT3486 |15 |2014-11-01
Sales |VAN001 |G.GOPINATH |14028 |CA\ -500-90mg_ |FOU |14544 |50 |2016-12-01
Sales |Sachin | |14028 |CA\ -500-90mg_ |FOU |14544 |5 |2016-12-01
Purchase |DC0000001 |GURU\ ENTERPRISES |60072 |NUROKIND-LC_ |MAN |E3DGM028 |12 |2014-10-01 |64.76
Purchase |DC0000001 |GURU\ ENTERPRISES |95061 |ELTROXIN-25mcg_ |GLA |N169 |1 |2015-01-01 |53.74
Purchase |DC0000002 |SANGEETHA\ AGENCIES |12838 |BOOST-15GM\ SACHET_ |GLA |201308 |24 |2014-08-01 |4.04
Purchase |DC0000002 |SANGEETHA\ AGENCIES |12841 |BOOST-500G\ REFILL_ |GLA |201309 |1 |2014-09-01 |144.75
Purchase |DC0000002 |SANGEETHA\ AGENCIES |30990 |ENO\ LEMON-5gm_ |COM |3605 |60 |2015-07-01 |4.76
Purchase |DC0000002 |SANGEETHA\ AGENCIES |95062 |ENO\ LEMON_100GM |GLA |3160 |1 |2015-04-01 |71.43
Purchase |DC0000002 |SANGEETHA\ AGENCIES |95063 |ENO\ REGULAR_100GM |GLA |3122 |1 |2015-04-01 |71.43
Purchase |DC0000002 |SANGEETHA\ AGENCIES |30991 |ENO\ ORANGE-5gm_ |COM |3091 |30 |2015-07-01 |4.76
Purchase |DC0000002 |SANGEETHA\ AGENCIES |95064 |ENO\ ORANGE_100GM |GLA |3040 |1 |2015-06-01 |71.43
Purchase |DC0000002 |SANGEETHA\ AGENCIES |95065 |ENO\ MINT_170ML |GLA |MB009 |1 |2015-05-01 |53.97
Purchase |DC0000002 |SANGEETHA\ AGENCIES |95066 |IODEX_9GM |GLA |201309 |5 |2015-08-01 |20.22
Purchase |DC0000002 |SANGEETHA\ AGENCIES |95067 |IODEX_18GM |GLA |201308 |5 |2015-07-01 |38.85
Purchase |DC0000002 |SANGEETHA\ AGENCIES |41150 |HORLICKS-500gm\ JAR_ |GLA |29N848 |1 |2014-08-01 |174.67
Purchase |DC0000002 |SANGEETHA\ AGENCIES |41150 |HORLICKS-500gm\ JAR_ |GLA |25BA5B |1 |2014-08-01 |166.59
Purchase |DC0000002 |SANGEETHA\ AGENCIES |41159 |HORLICKS\ MOTHERS-500G_ |GLA |05JA1H |1 |2014-06-01 |287.48
Purchase |DC0000002 |SANGEETHA\ AGENCIES |77755 |SENSODYNE\ GEL-40gm\ PASTE_ |GLA |SB3060 |3 |2015-08-01 |37.97
Purchase |DC0000002 |SANGEETHA\ AGENCIES |95068 |HORLICKS_18GM |GLA |30DBIP\ C5 |24 |2014-08-01 |4.04
Purchase |DC0000002 |SANGEETHA\ AGENCIES |43960 |JUNIOR\ HORLICKS-123-500G\ GP_ |GLA |16BB1B |1 |2014-09-01 |148.79
Purchase |DC0000002 |SANGEETHA\ AGENCIES |95069 |HORLICKS\ WOMEN\ CARAMEL_400GM |GLA |31JA2H |1 |2014-09-01 |181.95
Purchase |DC0000003 |SRI\ AYYANAR\ AGENCY |1269 |ACNE-N-PIMPLE_ |HIM |16300493 |3 |2016-06-01 |39.05
Purchase |DC0000003 |SRI\ AYYANAR\ AGENCY |95070 |ANTISEPTIC\ CREAM_20GM |HIM |16300333 |1 |2016-04-01 |23.81
Purchase |DC0000003 |SRI\ AYYANAR\ AGENCY |35749 |FOOT\ CARE_ |IND |59300201 |1 |2016-06-01 |35.71
Purchase |DC0000003 |SRI\ AYYANAR\ AGENCY |95071 |LEMON\ FACE\ WASH-OIL\ CLEAR_50ML |HIM |24300583 |3 |2016-07-01 |39.30
